2025-08-29T10:08:17 | Topic removed | name=US-China Trade Policy | id=us_china_trade_policy | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1242 | rels=6 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Euro Area Inflation | id=euro_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1811 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Fed Policy Uncertainty | id=fed_policy_uncertainty | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3852 | rels=5 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Household Balance Sheet | id=household_balance_sheet | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3865 | rels=2 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=US Inflation | id=us_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3930 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T11:22:35 | Retrieved articles | Fed Policy | Retrieved 4 from API
2025-08-29T17:19:42 | Replacement of article skipped | ust5y | tf=fundamental cnt=0 < 5
2025-08-29T17:19:42 | Added article | XUP8IRL2R | to existing topic ust5y
2025-08-29T17:20:03 | Node relationship created | dxy->usdjpy | type=INFLUENCES
2025-08-29T17:20:04 | Replacement of article skipped | dxy | tf=fundamental cnt=0 < 5
2025-08-29T17:20:04 | Added article | XUP8IRL2R | to existing topic dxy
2025-08-29T17:20:41 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T17:20:41 | Node relationship created | us_inflation->eurusd | type=INFLUENCES
2025-08-29T17:20:41 | Replacement of article skipped | us_inflation | tf=medium cnt=0 < 5
2025-08-29T17:20:41 | Added article | 0G55KW339 | to existing topic us_inflation
2025-08-29T17:21:42 | Enrichment check | fed_policy | section=current
2025-08-29T17:21:43 | Enrichment check | bund10y | section=fundamental
2025-08-29T17:21:56 | Replacement of article skipped | fed_policy | tf=medium cnt=0 < 5
2025-08-29T17:21:56 | Added article | 0G55KW339 | to existing topic fed_policy
2025-08-29T17:22:44 | Node relationship created | ust10y->usdcny | type=INFLUENCES
2025-08-29T17:22:44 | Replacement of article skipped | ust10y | tf=medium cnt=0 < 5
2025-08-29T17:22:44 | Added article | 0G55KW339 | to existing topic ust10y
2025-08-29T17:24:36 | Node relationship created | ust2y->ust30y | type=INFLUENCES
2025-08-29T17:24:36 | Replacement of article skipped | ust2y | tf=medium cnt=0 < 5
2025-08-29T17:24:36 | Added article | 0G55KW339 | to existing topic ust2y
2025-08-29T17:25:06 | Node relationship created | ust30y->bund10y | type=CORRELATES_WITH
2025-08-29T17:25:06 | Replacement of article skipped | ust30y | tf=medium cnt=0 < 5
2025-08-29T17:25:07 | Added article | 0G55KW339 | to existing topic ust30y
2025-08-29T17:26:00 | Node relationship created | ust2y->usdcny | type=INFLUENCES
2025-08-29T17:26:00 | Replacement of article skipped | ust2y | tf=medium cnt=0 < 5
2025-08-29T17:26:00 | Added article | V075F0GSV | to existing topic ust2y
2025-08-29T17:26:42 | Node relationship created | ust5y->spx | type=INFLUENCES
2025-08-29T17:26:42 | Replacement of article skipped | ust5y | tf=medium cnt=0 < 5
2025-08-29T17:26:42 | Added article | V075F0GSV | to existing topic ust5y
2025-08-29T17:27:44 | Node relationship created | ust30y->dxy | type=CORRELATES_WITH
2025-08-29T17:27:44 | Replacement of article skipped | ust30y | tf=medium cnt=0 < 5
2025-08-29T17:27:44 | Added article | V075F0GSV | to existing topic ust30y
2025-08-29T17:28:07 | Node relationship created | gilt10y->dxy | type=INFLUENCES
2025-08-29T17:28:07 | Replacement of article skipped | gilt10y | tf=medium cnt=0 < 5
2025-08-29T17:28:07 | Added article | V075F0GSV | to existing topic gilt10y
2025-08-29T17:28:50 | Node relationship created | ecb_policy->euribor | type=INFLUENCES
2025-08-29T17:28:50 | Replacement of article skipped | ecb_policy | tf=medium cnt=1 < 5
2025-08-29T17:28:50 | Added article | DM50JW41T | to existing topic ecb_policy
2025-08-29T17:29:04 | Node relationship created | usdjpy->dxy | type=COMPONENT_OF
2025-08-29T17:29:04 | Replacement of article skipped | usdjpy | tf=medium cnt=0 < 5
2025-08-29T17:29:04 | Added article | V075F0GSV | to existing topic usdjpy
2025-08-29T17:29:05 | Backfill added | V075F0GSV -> bund10y | section=fundamental
2025-08-29T17:29:55 | Enrichment check | bund10y | section=medium
2025-08-29T17:30:42 | Node relationship removed | us_inflation->ust5y | type=INFLUENCES
2025-08-29T17:30:43 | Node relationship created | us_inflation->ust5y | type=INFLUENCES
2025-08-29T17:30:48 | No replacement of article | us_inflation | new_article=QH3MJMTBN
2025-08-29T17:30:58 | Triggered rewrite | us_inflation | new_article=QH3MJMTBN
2025-08-29T17:34:43 | Saved analysis | us_inflation | field "fundamental_analysis" len=2466
2025-08-29T17:35:09 | Enrichment check | ust30y | section=fundamental
2025-08-29T17:37:01 | Enrichment check | ust30y | section=medium
2025-08-29T17:37:10 | Node relationship created | bund10y->euro_inflation | type=INFLUENCES
2025-08-29T17:37:10 | Replacement of article skipped | bund10y | tf=current cnt=2 < 5
2025-08-29T17:37:10 | Added article | QJEVQZHQR | to intended topic bund10y
2025-08-29T17:37:56 | Node relationship created | eurusd->us_inflation | type=CORRELATES_WITH
2025-08-29T17:37:56 | Replacement of article skipped | eurusd | tf=current cnt=2 < 5
2025-08-29T17:37:56 | Added article | QJEVQZHQR | to existing topic eurusd
2025-08-29T17:38:31 | Node relationship created | ust10y->usdjpy | type=INFLUENCES
2025-08-29T17:38:31 | Replacement of article skipped | usdjpy | tf=current cnt=1 < 5
2025-08-29T17:38:31 | Added article | QJEVQZHQR | to existing topic usdjpy
2025-08-29T17:38:51 | Enrichment check | ust30y | section=current
2025-08-29T17:39:08 | Node relationship created | euro_inflation->bund10y | type=INFLUENCES
2025-08-29T17:39:08 | Replacement of article skipped | euro_inflation | tf=current cnt=1 < 5
2025-08-29T17:39:08 | Added article | QJEVQZHQR | to existing topic euro_inflation
2025-08-29T17:40:09 | Node relationship created | fed_policy->gold | type=INFLUENCES
2025-08-29T17:40:09 | Replacement of article skipped | gold | tf=current cnt=1 < 5
2025-08-29T17:40:09 | Added article | QJEVQZHQR | to existing topic gold
2025-08-29T17:40:52 | Node relationship created | wti->dxy | type=INFLUENCES
2025-08-29T17:40:53 | Replacement of article skipped | wti | tf=current cnt=1 < 5
2025-08-29T17:40:53 | Added article | QJEVQZHQR | to existing topic wti
2025-08-29T17:41:42 | Node relationship created | brent->us_inflation | type=INFLUENCES
2025-08-29T17:41:42 | Replacement of article skipped | brent | tf=current cnt=1 < 5
2025-08-29T17:41:42 | Added article | QJEVQZHQR | to existing topic brent
2025-08-29T17:41:50 | Node relationship created | ust30y->us_inflation | type=CORRELATES_WITH
2025-08-29T17:41:50 | Replacement of article skipped | ust30y | tf=current cnt=1 < 5
2025-08-29T17:41:50 | Added article | VDO8D9T7M | to intended topic ust30y
2025-08-29T17:42:18 | Node relationship created | dxy->copper | type=INFLUENCES
2025-08-29T17:42:18 | Replacement of article skipped | copper | tf=current cnt=1 < 5
2025-08-29T17:42:18 | Added article | QJEVQZHQR | to existing topic copper
2025-08-29T17:42:34 | Node relationship created | dxy->gold | type=CORRELATES_WITH
2025-08-29T17:42:35 | Replacement of article skipped | dxy | tf=current cnt=3 < 5
2025-08-29T17:42:35 | Added article | VDO8D9T7M | to existing topic dxy
2025-08-29T17:43:06 | Node relationship created | china_exports->china_credit_impulse | type=INFLUENCES
2025-08-29T17:43:06 | Replacement of article skipped | china_exports | tf=current cnt=2 < 5
2025-08-29T17:43:06 | Added article | QJEVQZHQR | to existing topic china_exports
2025-08-29T17:43:21 | Node relationship created | sx5e->spx | type=PEERS
2025-08-29T17:43:21 | Replacement of article skipped | sx5e | tf=current cnt=2 < 5
2025-08-29T17:43:21 | Added article | VDO8D9T7M | to existing topic sx5e
2025-08-29T17:43:21 | Backfill added | VDO8D9T7M -> ust30y | section=current
2025-08-29T17:43:21 | Pipeline complete | pipeline | run complete
2025-08-29T17:43:22 | Retrieved articles | Copper | Retrieved 10 from API
2025-08-29T17:43:55 | Node relationship created | china_credit_impulse->china_exports | type=INFLUENCES
2025-08-29T17:43:55 | Replacement of article skipped | china_credit_impulse | tf=current cnt=1 < 5
2025-08-29T17:43:55 | Added article | QJEVQZHQR | to existing topic china_credit_impulse
2025-08-29T17:44:23 | Node relationship created | ust2y->sofr | type=CORRELATES_WITH
2025-08-29T17:44:23 | Replacement of article skipped | ust2y | tf=current cnt=3 < 5
2025-08-29T17:44:24 | Added article | QJEVQZHQR | to existing topic ust2y
2025-08-29T17:44:51 | Node relationship created | ust5y->ust10y | type=INFLUENCES
2025-08-29T17:44:52 | Replacement of article skipped | ust5y | tf=current cnt=2 < 5
2025-08-29T17:44:52 | Added article | QJEVQZHQR | to existing topic ust5y
2025-08-29T17:45:19 | Node relationship created | ust30y->spx | type=CORRELATES_WITH
2025-08-29T17:45:19 | Replacement of article skipped | ust30y | tf=current cnt=2 < 5
2025-08-29T17:45:20 | Added article | QJEVQZHQR | to existing topic ust30y
2025-08-29T17:45:20 | Backfill added | QJEVQZHQR -> bund10y | section=medium
2025-08-29T17:45:38 | Enrichment check | bund10y | section=current
2025-08-29T17:45:39 | Enrichment check | ust10y | section=fundamental
2025-08-29T17:47:03 | Node relationship created | gold->ust2y | type=CORRELATES_WITH
2025-08-29T17:47:03 | Replacement of article skipped | gold | tf=fundamental cnt=1 < 5
2025-08-29T17:47:03 | Added article | B6K0ZJQ59 | to existing topic gold
2025-08-29T17:47:07 | Enrichment check | ust10y | section=medium
2025-08-29T17:48:44 | Node relationship created | us_unemployment_claims->spx | type=INFLUENCES
2025-08-29T17:48:44 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=4 < 5
2025-08-29T17:48:44 | Added article | P8AP425FM | to existing topic us_unemployment_claims
2025-08-29T17:50:04 | Node relationship created | spx->dxy | type=CORRELATES_WITH
2025-08-29T17:50:13 | No replacement of article | spx | new_article=P8AP425FM
2025-08-29T17:50:24 | Triggered rewrite | spx | new_article=P8AP425FM
2025-08-29T17:53:20 | Saved analysis | spx | field "fundamental_analysis" len=1689
2025-08-29T17:56:21 | Saved analysis | spx | field "medium_analysis" len=1025
2025-08-29T17:59:27 | Saved analysis | spx | field "current_analysis" len=2054
2025-08-29T18:00:34 | Node relationship removed | fed_policy->usdcny | type=INFLUENCES
2025-08-29T18:00:34 | Node relationship created | fed_policy->eurusd | type=INFLUENCES
2025-08-29T18:00:55 | No replacement of article | fed_policy | new_article=QH3MJMTBN
2025-08-29T18:01:26 | Triggered rewrite | fed_policy | new_article=QH3MJMTBN
2025-08-29T18:02:48 | Saved analysis | spx | field "movers_scenarios" len=753
2025-08-29T18:05:44 | Saved analysis | spx | field "swing_trade_or_outlook" len=798
2025-08-29T18:09:21 | Saved analysis | spx | field "executive_summary" len=622
2025-08-29T18:09:21 | Rewrite complete | spx | total_chars=6941
2025-08-29T18:09:21 | Added article | P8AP425FM | to existing topic spx
2025-08-29T18:10:23 | Node relationship created | copper->dxy | type=CORRELATES_WITH
2025-08-29T18:10:23 | Replacement of article skipped | copper | tf=fundamental cnt=0 < 5
2025-08-29T18:10:23 | Added article | ACNBUVLCU | to existing topic copper
2025-08-29T18:11:44 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T18:11:44 | Node relationship created | fed_policy->usdcny | type=INFLUENCES
2025-08-29T18:11:44 | Replacement of article skipped | fed_policy | tf=fundamental cnt=1 < 5
2025-08-29T18:11:45 | Added article | ZV3QI3K19 | to existing topic fed_policy
2025-08-29T18:12:26 | Node relationship created | ecb_policy->ust10y | type=INFLUENCES
2025-08-29T18:12:27 | Replacement of article skipped | ecb_policy | tf=fundamental cnt=1 < 5
2025-08-29T18:12:27 | Added article | ZV3QI3K19 | to existing topic ecb_policy
2025-08-29T18:13:05 | Node relationship created | eurusd->ust2y | type=CORRELATES_WITH
2025-08-29T18:13:06 | Replacement of article skipped | eurusd | tf=fundamental cnt=1 < 5
2025-08-29T18:13:06 | Added article | ZV3QI3K19 | to existing topic eurusd
2025-08-29T18:15:05 | Node relationship created | dxy->spx | type=INFLUENCES
2025-08-29T18:15:05 | Replacement of article skipped | dxy | tf=fundamental cnt=1 < 5
2025-08-29T18:15:05 | Added article | ZV3QI3K19 | to existing topic dxy
2025-08-29T18:15:51 | Node relationship created | ust10y->euro_inflation | type=CORRELATES_WITH
2025-08-29T18:15:51 | Replacement of article skipped | ust10y | tf=fundamental cnt=2 < 5
2025-08-29T18:15:52 | Added article | ZV3QI3K19 | to existing topic ust10y
2025-08-29T18:16:26 | Node relationship created | ust2y->fed_policy | type=CORRELATES_WITH
2025-08-29T18:16:26 | Replacement of article skipped | ust2y | tf=fundamental cnt=1 < 5
2025-08-29T18:16:26 | Added article | ZV3QI3K19 | to existing topic ust2y
2025-08-29T18:17:10 | Node relationship created | ust30y->ust5y | type=CORRELATES_WITH
2025-08-29T18:17:10 | Replacement of article skipped | ust30y | tf=fundamental cnt=1 < 5
2025-08-29T18:17:10 | Added article | ZV3QI3K19 | to existing topic ust30y
2025-08-29T18:17:39 | Node relationship created | bund10y->ust10y | type=INFLUENCES
2025-08-29T18:17:39 | Replacement of article skipped | bund10y | tf=fundamental cnt=1 < 5
2025-08-29T18:17:39 | Added article | ZV3QI3K19 | to existing topic bund10y
2025-08-29T18:18:11 | Node relationship created | gilt10y->bund10y | type=INFLUENCES
2025-08-29T18:18:12 | Replacement of article skipped | gilt10y | tf=fundamental cnt=1 < 5
2025-08-29T18:18:12 | Added article | ZV3QI3K19 | to existing topic gilt10y
2025-08-29T18:18:33 | Node relationship created | jgb10y->usdjpy | type=INFLUENCES
2025-08-29T18:18:34 | Replacement of article skipped | jgb10y | tf=fundamental cnt=1 < 5
2025-08-29T18:18:34 | Added article | ZV3QI3K19 | to existing topic jgb10y
2025-08-29T18:19:31 | Relationship duplicate | fed_policy->gold | type=INFLUENCES
2025-08-29T18:19:32 | Replacement of article skipped | gold | tf=fundamental cnt=2 < 5
2025-08-29T18:19:32 | Added article | ZV3QI3K19 | to existing topic gold
2025-08-29T18:20:36 | Node relationship created | wti->brent | type=CORRELATES_WITH
2025-08-29T18:20:36 | Replacement of article skipped | wti | tf=fundamental cnt=1 < 5
2025-08-29T18:20:36 | Added article | ZV3QI3K19 | to existing topic wti
2025-08-29T18:21:05 | Node relationship created | brent->ust10y | type=INFLUENCES
2025-08-29T18:21:06 | Replacement of article skipped | brent | tf=fundamental cnt=1 < 5
2025-08-29T18:21:06 | Added article | ZV3QI3K19 | to existing topic brent
2025-08-29T18:21:39 | Node relationship created | copper->gold | type=CORRELATES_WITH
2025-08-29T18:21:39 | Replacement of article skipped | copper | tf=fundamental cnt=1 < 5
2025-08-29T18:21:39 | Added article | ZV3QI3K19 | to existing topic copper
2025-08-29T18:22:38 | Relationship duplicate | fed_policy->spx | type=INFLUENCES
2025-08-29T18:22:38 | Replacement of article skipped | spx | tf=fundamental cnt=2 < 5
2025-08-29T18:22:39 | Added article | ZV3QI3K19 | to existing topic spx
2025-08-29T18:23:09 | Node relationship created | euro_inflation->sx5e | type=INFLUENCES
2025-08-29T18:23:10 | Replacement of article skipped | sx5e | tf=fundamental cnt=1 < 5
2025-08-29T18:23:10 | Added article | ZV3QI3K19 | to existing topic sx5e
2025-08-29T18:24:45 | Relationship duplicate | ust10y->usdcny | type=INFLUENCES
2025-08-29T18:24:45 | Replacement of article skipped | usdcny | tf=fundamental cnt=1 < 5
2025-08-29T18:24:46 | Added article | ZV3QI3K19 | to existing topic usdcny
2025-08-29T18:25:37 | Node relationship created | china_exports->dxy | type=INFLUENCES
2025-08-29T18:25:37 | Replacement of article skipped | china_exports | tf=fundamental cnt=1 < 5
2025-08-29T18:25:37 | Added article | ZV3QI3K19 | to existing topic china_exports
2025-08-29T18:26:05 | Node relationship created | china_credit_impulse->usdcny | type=INFLUENCES
2025-08-29T18:26:05 | Replacement of article skipped | china_credit_impulse | tf=fundamental cnt=1 < 5
2025-08-29T18:26:06 | Added article | ZV3QI3K19 | to existing topic china_credit_impulse
2025-08-29T18:26:30 | Node relationship removed | us_inflation->euro_inflation | type=INFLUENCES
2025-08-29T18:26:30 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T18:26:31 | Replacement of article skipped | us_inflation | tf=fundamental cnt=2 < 5
2025-08-29T18:26:31 | Added article | ZV3QI3K19 | to existing topic us_inflation
2025-08-29T18:26:43 | Node relationship created | euro_inflation->eurusd | type=INFLUENCES
2025-08-29T18:26:43 | Replacement of article skipped | euro_inflation | tf=fundamental cnt=1 < 5
2025-08-29T18:26:44 | Added article | ZV3QI3K19 | to existing topic euro_inflation
2025-08-29T18:27:14 | Node relationship created | sofr->ust2y | type=INFLUENCES
2025-08-29T18:27:14 | Replacement of article skipped | sofr | tf=fundamental cnt=1 < 5
2025-08-29T18:27:14 | Added article | ZV3QI3K19 | to existing topic sofr
2025-08-29T18:27:39 | Node relationship created | euribor->bund10y | type=COMPONENT_OF
2025-08-29T18:27:39 | Replacement of article skipped | euribor | tf=fundamental cnt=1 < 5
2025-08-29T18:27:39 | Added article | ZV3QI3K19 | to existing topic euribor
2025-08-29T18:27:39 | Enrichment check | copper | section=fundamental
2025-08-29T18:28:23 | Enrichment check | copper | section=medium
2025-08-29T18:29:50 | Enrichment check | copper | section=current
2025-08-29T18:30:16 | Pipeline complete | pipeline | run complete
2025-08-29T18:30:18 | Retrieved articles | US 5Y Treasury Yield | Retrieved 10 from API
2025-08-29T18:34:29 | Node relationship created | copper->ust10y | type=CORRELATES_WITH
2025-08-29T18:34:29 | Replacement of article skipped | copper | tf=fundamental cnt=1 < 5
2025-08-29T18:34:29 | Added article | W39GQ2BFZ | to existing topic copper
2025-08-29T18:35:13 | Node relationship created | spx->fed_policy | type=CORRELATES_WITH
2025-08-29T18:35:13 | Replacement of article skipped | spx | tf=fundamental cnt=2 < 5
2025-08-29T18:35:14 | Added article | W39GQ2BFZ | to existing topic spx
2025-08-29T18:36:17 | Node relationship created | spx->sx5e | type=CORRELATES_WITH
2025-08-29T18:36:17 | Replacement of article skipped | spx | tf=fundamental cnt=2 < 5
2025-08-29T18:36:17 | Added article | 7S4T54YAW | to existing topic spx
2025-08-29T18:37:22 | Relationship duplicate | us_unemployment_claims->spx | type=INFLUENCES
2025-08-29T18:37:30 | No replacement of article | spx | new_article=5GZPY1XUE
2025-08-29T18:37:31 | Added article | 5GZPY1XUE | to existing topic spx
2025-08-29T18:39:47 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T18:39:47 | Node relationship created | us_inflation->usdjpy | type=INFLUENCES
2025-08-29T18:39:48 | Replacement of article skipped | us_inflation | tf=fundamental cnt=2 < 5
2025-08-29T18:39:48 | Added article | P78XKPAXN | to existing topic us_inflation
2025-08-29T18:41:21 | Node relationship removed | fed_policy->ust5y | type=INFLUENCES
2025-08-29T18:41:21 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T18:41:21 | Replacement of article skipped | fed_policy | tf=medium cnt=1 < 5
2025-08-29T18:41:21 | Added article | XQMF22EFB | to existing topic fed_policy
2025-08-29T18:42:19 | Node relationship removed | us_inflation->gold | type=INFLUENCES
2025-08-29T18:42:19 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T18:42:20 | Replacement of article skipped | us_inflation | tf=medium cnt=1 < 5
2025-08-29T18:42:20 | Added article | XQMF22EFB | to existing topic us_inflation
2025-08-29T18:42:52 | Node relationship created | ust10y->copper | type=INFLUENCES
2025-08-29T18:42:52 | Replacement of article skipped | ust10y | tf=medium cnt=1 < 5
2025-08-29T18:42:52 | Added article | XQMF22EFB | to existing topic ust10y
2025-08-29T18:43:30 | Node relationship created | dxy->usdcny | type=INFLUENCES
2025-08-29T18:43:31 | Replacement of article skipped | dxy | tf=medium cnt=1 < 5
2025-08-29T18:43:31 | Added article | XQMF22EFB | to existing topic dxy
2025-08-29T18:43:58 | Node relationship created | eurusd->ust5y | type=INFLUENCES
2025-08-29T18:43:58 | Replacement of article skipped | eurusd | tf=medium cnt=1 < 5
2025-08-29T18:43:58 | Added article | XQMF22EFB | to existing topic eurusd
2025-08-29T18:43:59 | Enrichment check | ust5y | section=fundamental
2025-08-29T18:44:39 | Enrichment check | ust5y | section=medium
2025-08-29T18:45:33 | Enrichment check | ust5y | section=current
2025-08-29T18:45:33 | Pipeline complete | pipeline | run complete
2025-08-29T18:45:33 | Retrieved articles | GBP/USD | Retrieved 0 from API
2025-08-29T18:45:34 | Enrichment check | gbpusd | section=fundamental
2025-08-29T18:46:19 | Enrichment check | gbpusd | section=medium
2025-08-29T18:46:47 | Enrichment check | gbpusd | section=current
2025-08-29T18:47:30 | Pipeline complete | pipeline | run complete
2025-08-29T18:47:31 | Retrieved articles | UK 10Y Gilt Yield | Retrieved 10 from API
2025-08-29T18:50:45 | Node relationship created | ust10y->sx5e | type=INFLUENCES
2025-08-29T18:50:48 | No replacement of article | ust10y | new_article=QIEGXN543
2025-08-29T18:50:51 | Triggered rewrite | ust10y | new_article=QIEGXN543
2025-08-29T18:54:40 | Saved analysis | ust10y | field "fundamental_analysis" len=2330
2025-08-29T18:56:02 | Saved analysis | ust10y | field "medium_analysis" len=1409
2025-08-29T18:59:44 | Saved analysis | ust10y | field "current_analysis" len=1875
2025-08-29T19:02:34 | Saved analysis | ust10y | field "drivers" len=1061
2025-08-29T19:04:57 | Saved analysis | ust10y | field "movers_scenarios" len=551
2025-08-29T19:07:06 | Saved analysis | ust10y | field "swing_trade_or_outlook" len=841
2025-08-29T19:08:50 | Saved analysis | ust10y | field "executive_summary" len=1313
2025-08-29T19:08:50 | Rewrite complete | ust10y | total_chars=9380
2025-08-29T19:08:50 | Added article | QIEGXN543 | to existing topic ust10y
2025-08-29T19:09:13 | Node relationship created | ust2y->us_unemployment_claims | type=CORRELATES_WITH
2025-08-29T19:09:13 | Replacement of article skipped | ust2y | tf=current cnt=4 < 5
2025-08-29T19:09:13 | Added article | QIEGXN543 | to existing topic ust2y
2025-08-29T19:09:33 | Node relationship created | ust5y->ust30y | type=INFLUENCES
2025-08-29T19:09:33 | Replacement of article skipped | ust5y | tf=current cnt=3 < 5
2025-08-29T19:09:33 | Added article | QIEGXN543 | to existing topic ust5y
2025-08-29T19:09:49 | Relationship duplicate | fed_policy->ust30y | type=INFLUENCES
2025-08-29T19:09:49 | Replacement of article skipped | ust30y | tf=current cnt=3 < 5
2025-08-29T19:09:50 | Added article | QIEGXN543 | to existing topic ust30y
2025-08-29T19:10:27 | Relationship duplicate | fed_policy->dxy | type=INFLUENCES
2025-08-29T19:10:27 | Replacement of article skipped | dxy | tf=current cnt=4 < 5
2025-08-29T19:10:27 | Added article | QIEGXN543 | to existing topic dxy
2025-08-29T19:11:16 | Relationship duplicate | us_unemployment_claims->spx | type=INFLUENCES
2025-08-29T19:11:22 | No replacement of article | spx | new_article=PVR13ETC2
2025-08-29T19:11:22 | Added article | PVR13ETC2 | to existing topic spx
2025-08-29T19:11:46 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:11:47 | Node relationship created | us_inflation->gold | type=INFLUENCES
2025-08-29T19:11:51 | No replacement of article | us_inflation | new_article=PVR13ETC2
2025-08-29T19:11:51 | Added article | PVR13ETC2 | to existing topic us_inflation
2025-08-29T19:13:13 | Node relationship created | china_exports->ust10y | type=INFLUENCES
2025-08-29T19:13:13 | Replacement of article skipped | china_exports | tf=current cnt=3 < 5
2025-08-29T19:13:13 | Added article | BY233O0QM | to existing topic china_exports
2025-08-29T19:13:34 | Node relationship created | ust10y->fed_policy | type=CORRELATES_WITH
2025-08-29T19:13:38 | No replacement of article | ust10y | new_article=BY233O0QM
2025-08-29T19:13:39 | Added article | BY233O0QM | to existing topic ust10y
2025-08-29T19:13:48 | Node relationship created | wheat->dxy | type=CORRELATES_WITH
2025-08-29T19:13:48 | Replacement of article skipped | wheat | tf=current cnt=1 < 5
2025-08-29T19:13:48 | Added article | BY233O0QM | to existing topic wheat
2025-08-29T19:15:45 | Node relationship removed | us_inflation->usdjpy | type=INFLUENCES
2025-08-29T19:15:45 | Node relationship created | us_inflation->usdcny | type=INFLUENCES
2025-08-29T19:15:50 | No replacement of article | us_inflation | new_article=HOHU35S67
2025-08-29T19:15:50 | Added article | HOHU35S67 | to existing topic us_inflation
2025-08-29T19:17:02 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:17:02 | Node relationship created | fed_policy->ust5y | type=INFLUENCES
2025-08-29T19:17:06 | No replacement of article | fed_policy | new_article=HOHU35S67
2025-08-29T19:17:09 | Triggered rewrite | fed_policy | new_article=HOHU35S67
2025-08-29T19:21:21 | Saved analysis | fed_policy | field "fundamental_analysis" len=2631
2025-08-29T19:22:56 | Saved analysis | fed_policy | field "medium_analysis" len=1297
2025-08-29T19:25:21 | Saved analysis | fed_policy | field "current_analysis" len=1156
2025-08-29T19:27:41 | Saved analysis | fed_policy | field "drivers" len=794
2025-08-29T19:28:53 | Saved analysis | fed_policy | field "movers_scenarios" len=813
2025-08-29T19:31:15 | Saved analysis | fed_policy | field "swing_trade_or_outlook" len=767
2025-08-29T19:32:58 | Saved analysis | fed_policy | field "executive_summary" len=40
2025-08-29T19:32:58 | Rewrite complete | fed_policy | total_chars=7498
2025-08-29T19:32:58 | Added article | HOHU35S67 | to existing topic fed_policy
2025-08-29T19:34:05 | Node relationship removed | fed_policy->usdcny | type=INFLUENCES
2025-08-29T19:34:05 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:34:09 | No replacement of article | fed_policy | new_article=IP88R9ODP
2025-08-29T19:34:09 | Added article | IP88R9ODP | to existing topic fed_policy
2025-08-29T19:34:46 | Relationship duplicate | us_inflation->usdcny | type=INFLUENCES
2025-08-29T19:34:46 | Replacement of article skipped | usdcny | tf=current cnt=2 < 5
2025-08-29T19:34:46 | Added article | IP88R9ODP | to existing topic usdcny
2025-08-29T19:35:04 | Node relationship created | ust10y->gbpusd | type=INFLUENCES
2025-08-29T19:35:12 | No replacement of article | ust10y | new_article=IP88R9ODP
2025-08-29T19:35:12 | Added article | IP88R9ODP | to existing topic ust10y
2025-08-29T19:35:21 | Replacement of article skipped | ust2y | tf=current cnt=4 < 5
2025-08-29T19:35:21 | Added article | IP88R9ODP | to existing topic ust2y
2025-08-29T19:36:02 | Relationship duplicate | fed_policy->ust30y | type=INFLUENCES
2025-08-29T19:36:02 | Replacement of article skipped | ust30y | tf=current cnt=3 < 5
2025-08-29T19:36:02 | Added article | IP88R9ODP | to existing topic ust30y
2025-08-29T19:36:29 | Node relationship created | china_exports->spx | type=INFLUENCES
2025-08-29T19:36:30 | Replacement of article skipped | china_exports | tf=current cnt=3 < 5
2025-08-29T19:36:30 | Added article | IP88R9ODP | to existing topic china_exports
2025-08-29T19:37:27 | Node relationship created | china_credit_impulse->dxy | type=INFLUENCES
2025-08-29T19:37:27 | Replacement of article skipped | china_credit_impulse | tf=current cnt=1 < 5
2025-08-29T19:37:27 | Added article | IP88R9ODP | to existing topic china_credit_impulse
2025-08-29T19:37:31 | Enrichment check | gilt10y | section=fundamental
2025-08-29T19:39:01 | Enrichment check | gilt10y | section=medium
2025-08-29T19:40:28 | Node relationship created | gilt10y->ust10y | type=INFLUENCES
2025-08-29T19:40:28 | Replacement of article skipped | gilt10y | tf=current cnt=2 < 5
2025-08-29T19:40:28 | Added article | VDO8D9T7M | to intended topic gilt10y
2025-08-29T19:40:28 | Backfill added | VDO8D9T7M -> gilt10y | section=medium
