2025-08-25T00:00:38 | Node relationship removed | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T01:42:44 | Added article | YQOMV2HAJ | to existing topic core_monthly_cpi
2025-08-25T01:43:15 | Node relationship created | core_cpi->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T01:43:15 | Replacement of article skipped | core_cpi | tf=medium cnt=2 < 5
2025-08-25T01:43:15 | Added article | YQOMV2HAJ | to existing topic core_cpi
2025-08-25T01:44:00 | Node relationship removed | us_inflation_data->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:44:00 | Node relationship created | us_inflation_data->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T01:44:00 | Replacement of article skipped | us_inflation_data | tf=medium cnt=1 < 5
2025-08-25T01:44:01 | Added article | YQOMV2HAJ | to existing topic us_inflation_data
2025-08-25T01:44:26 | Node relationship created | us_inflation_expectations->us_inflation_data | type=INFLUENCES
2025-08-25T01:44:27 | Replacement of article skipped | us_inflation_expectations | tf=medium cnt=1 < 5
2025-08-25T01:44:27 | Added article | YQOMV2HAJ | to existing topic us_inflation_expectations
2025-08-25T01:44:35 | Saved analysis | us_inflation | field "executive_summary" len=1531
2025-08-25T01:44:35 | Rewrite complete | us_inflation | total_chars=26083
2025-08-25T01:44:36 | Added article | OGK8WLL69 | to existing topic us_inflation
2025-08-25T01:45:45 | Node relationship created | core_cpi->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:45:45 | Replacement of article skipped | us_inflation_impact_on_bitcoin | tf=fundamental cnt=4 < 5
2025-08-25T01:45:45 | Added article | OGK8WLL69 | to existing topic us_inflation_impact_on_bitcoin
2025-08-25T01:46:03 | Node relationship removed | us_inflation_impact_on_stocks->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:46:03 | Node relationship created | us_inflation_impact_on_stocks->cpi_impact_on_treasuries | type=INFLUENCES
2025-08-25T01:46:04 | Replacement of article skipped | us_inflation_impact_on_stocks | tf=medium cnt=3 < 5
2025-08-25T01:46:04 | Added article | YQOMV2HAJ | to existing topic us_inflation_impact_on_stocks
2025-08-25T01:46:30 | Node relationship removed | us_inflation_impact_on_stocks->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:46:30 | Node relationship created | us_inflation_impact_on_stocks->core_monthly_cpi | type=INFLUENCES
2025-08-25T01:46:35 | No replacement of article | us_inflation_impact_on_stocks | new_article=OGK8WLL69
2025-08-25T01:46:40 | Triggered rewrite | us_inflation_impact_on_stocks | new_article=OGK8WLL69
2025-08-25T01:46:50 | Node relationship removed | us_inflation_stock_impact->oil | type=INFLUENCES
2025-08-25T01:46:51 | Node relationship created | us_inflation_stock_impact->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T01:46:51 | Replacement of article skipped | us_inflation_stock_impact | tf=medium cnt=2 < 5
2025-08-25T01:46:51 | Added article | YQOMV2HAJ | to existing topic us_inflation_stock_impact
2025-08-25T01:47:21 | Node relationship created | wheat->grain_prices | type=INFLUENCES
2025-08-25T01:47:21 | Replacement of article skipped | wheat | tf=medium cnt=1 < 5
2025-08-25T01:47:21 | Added article | YQOMV2HAJ | to existing topic wheat
2025-08-25T01:48:02 | Pipeline complete | pipeline | run complete
2025-08-25T01:48:03 | Retrieved articles | Political Influence on Business | Retrieved 10 from API
2025-08-25T01:48:20 | Saved analysis | us_inflation_impact_on_stocks | field "fundamental_analysis" len=6373
2025-08-25T01:49:51 | Saved analysis | us_inflation_impact_on_stocks | field "medium_analysis" len=4515
2025-08-25T01:51:35 | Saved analysis | us_inflation_impact_on_stocks | field "current_analysis" len=3563
2025-08-25T01:52:58 | Saved analysis | us_inflation_impact_on_stocks | field "drivers" len=2603
2025-08-25T01:53:15 | Node relationship created | australia_economic_outlook->australia_productivity_growth | type=INFLUENCES
2025-08-25T01:53:15 | Replacement of article skipped | australia_economic_outlook | tf=medium cnt=1 < 5
2025-08-25T01:53:15 | Added article | 9Q7DQ170A | to existing topic australia_economic_outlook
2025-08-25T01:53:39 | Node relationship created | australia_productivity_growth->australia_rare_earths | type=INFLUENCES
2025-08-25T01:53:39 | Replacement of article skipped | australia_productivity_growth | tf=medium cnt=1 < 5
2025-08-25T01:53:39 | Added article | 9Q7DQ170A | to existing topic australia_productivity_growth
2025-08-25T01:54:33 | Node relationship created | investment_risks->euro_inflation | type=INFLUENCES
2025-08-25T01:54:34 | Replacement of article skipped | investment_risks | tf=medium cnt=1 < 5
2025-08-25T01:54:34 | Added article | 9Q7DQ170A | to existing topic investment_risks
2025-08-25T01:54:56 | Saved analysis | us_inflation_impact_on_stocks | field "movers_scenarios" len=1518
2025-08-25T01:57:16 | Node relationship removed | us_china_trade_talks->us_chip_trade_china | type=INFLUENCES
2025-08-25T01:57:16 | Node relationship created | us_china_trade_talks->us_china_trade_war_2025 | type=INFLUENCES
2025-08-25T01:57:16 | Replacement of article skipped | us_china_trade_talks | tf=fundamental cnt=2 < 5
2025-08-25T01:57:17 | Added article | 75187DPQA | to existing topic us_china_trade_talks
2025-08-25T01:57:32 | Saved analysis | us_inflation_impact_on_stocks | field "swing_trade_or_outlook" len=1218
2025-08-25T01:57:51 | Node relationship created | us_china_trade_negotiations->us_china_trade_war_2025 | type=INFLUENCES
2025-08-25T01:57:58 | No replacement of article | us_china_trade_negotiations | new_article=75187DPQA
2025-08-25T01:57:58 | Added article | 75187DPQA | to existing topic us_china_trade_negotiations
2025-08-25T01:58:41 | Node relationship removed | china_macro->us_china_tariffs | type=INFLUENCES
2025-08-25T01:58:41 | Node relationship created | china_macro->fed_policy | type=INFLUENCES
2025-08-25T01:58:53 | Article replaced | china_macro | old=KXX61B8AG new=75187DPQA
2025-08-25T01:59:02 | Triggered rewrite | china_macro | new_article=75187DPQA
2025-08-25T01:59:14 | Saved analysis | us_inflation_impact_on_stocks | field "executive_summary" len=1464
2025-08-25T01:59:14 | Rewrite complete | us_inflation_impact_on_stocks | total_chars=21254
2025-08-25T01:59:14 | Added article | OGK8WLL69 | to existing topic us_inflation_impact_on_stocks
2025-08-25T01:59:34 | Node relationship created | lower_interest_rates->us_10y | type=INFLUENCES
2025-08-25T01:59:34 | Replacement of article skipped | lower_interest_rates | tf=fundamental cnt=2 < 5
2025-08-25T01:59:34 | Added article | OGK8WLL69 | to existing topic lower_interest_rates
2025-08-25T02:00:15 | Node relationship removed | us_treasury_yields->30yr_tips_auction | type=INFLUENCES
2025-08-25T02:00:16 | Node relationship created | us_treasury_yields->cpi_impact_on_treasuries | type=INFLUENCES
2025-08-25T02:00:16 | Replacement of article skipped | us_treasury_yields | tf=fundamental cnt=4 < 5
2025-08-25T02:00:16 | Added article | OGK8WLL69 | to existing topic us_treasury_yields
2025-08-25T02:01:18 | Node relationship created | equity_market_vs_economy->eurostoxx50 | type=INFLUENCES
2025-08-25T02:01:19 | Replacement of article skipped | equity_market_vs_economy | tf=current cnt=2 < 5
2025-08-25T02:01:19 | Added article | IM265UCQY | to existing topic equity_market_vs_economy
2025-08-25T02:01:54 | Node relationship created | investment_risks->ukraine_conflict | type=INFLUENCES
2025-08-25T02:01:54 | Replacement of article skipped | investment_risks | tf=current cnt=1 < 5
2025-08-25T02:01:54 | Added article | IM265UCQY | to existing topic investment_risks
2025-08-25T02:02:13 | Saved analysis | china_macro | field "fundamental_analysis" len=5035
2025-08-25T02:02:14 | Pipeline complete | pipeline | run complete
2025-08-25T02:02:15 | Retrieved articles | Wolf Man | Retrieved 10 from API
2025-08-25T02:02:20 | Node relationship created | australia_economic_outlook->australia_rare_earths | type=INFLUENCES
2025-08-25T02:02:20 | Replacement of article skipped | australia_economic_outlook | tf=current cnt=1 < 5
2025-08-25T02:02:20 | Added article | IM265UCQY | to existing topic australia_economic_outlook
2025-08-25T02:02:54 | Node relationship created | small_cap_growth_investor->thematic_portfolio_investing | type=PEERS
2025-08-25T02:02:54 | Replacement of article skipped | small_cap_growth_investor | tf=current cnt=1 < 5
2025-08-25T02:02:54 | Added article | IM265UCQY | to existing topic small_cap_growth_investor
2025-08-25T02:04:44 | Node relationship created | eurusd->us_10y | type=INFLUENCES
2025-08-25T02:04:50 | Article replaced | eurusd | old=IG1MXUEW5 new=4YEPDLBLI
2025-08-25T02:04:58 | Triggered rewrite | eurusd | new_article=4YEPDLBLI
2025-08-25T02:07:23 | Node relationship removed | sp500->us_stock_buybacks | type=INFLUENCES
2025-08-25T02:07:23 | Node relationship created | sp500->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T02:07:31 | Saved analysis | eurusd | field "fundamental_analysis" len=5767
2025-08-25T02:07:40 | No replacement of article | sp500 | new_article=E9CG0NWAH
2025-08-25T02:07:40 | Added article | E9CG0NWAH | to existing topic sp500
2025-08-25T02:08:22 | Node relationship created | ai_in_entertainment->ai_infrastructure | type=INFLUENCES
2025-08-25T02:08:22 | Replacement of article skipped | ai_in_entertainment | tf=current cnt=2 < 5
2025-08-25T02:08:22 | Added article | E9CG0NWAH | to existing topic ai_in_entertainment
2025-08-25T02:09:32 | Node relationship created | excelerate_energy_acquisition_impact->lng_projects_2026 | type=INFLUENCES
2025-08-25T02:09:32 | Replacement of article skipped | excelerate_energy_acquisition_impact | tf=fundamental cnt=2 < 5
2025-08-25T02:09:32 | Added article | RM401QPOM | to existing topic excelerate_energy_acquisition_impact
2025-08-25T02:09:47 | Saved analysis | eurusd | field "medium_analysis" len=5941
2025-08-25T02:10:19 | Node relationship created | ai_productivity->ai_human_skills_gap | type=INFLUENCES
2025-08-25T02:10:19 | Replacement of article skipped | ai_productivity | tf=fundamental cnt=3 < 5
2025-08-25T02:10:19 | Added article | RM401QPOM | to existing topic ai_productivity
2025-08-25T02:10:41 | Node relationship created | smart_data_capture->ai_infrastructure | type=INFLUENCES
2025-08-25T02:10:41 | Replacement of article skipped | smart_data_capture | tf=fundamental cnt=3 < 5
2025-08-25T02:10:41 | Added article | RM401QPOM | to existing topic smart_data_capture
2025-08-25T02:12:00 | Node relationship created | agentic_ai_solutions->ai_infrastructure | type=INFLUENCES
2025-08-25T02:12:00 | Replacement of article skipped | agentic_ai_solutions | tf=current cnt=2 < 5
2025-08-25T02:12:00 | Added article | G1OEP69ET | to existing topic agentic_ai_solutions
2025-08-25T02:12:05 | Saved analysis | eurusd | field "current_analysis" len=2935
2025-08-25T02:12:46 | Node relationship created | ai_productivity->ai_in_education | type=INFLUENCES
2025-08-25T02:12:51 | No replacement of article | ai_productivity | new_article=G1OEP69ET
2025-08-25T02:12:52 | Added article | G1OEP69ET | to existing topic ai_productivity
2025-08-25T02:13:19 | Node relationship created | ai_governance->us_ai_chip_export_policy | type=INFLUENCES
2025-08-25T02:13:19 | Replacement of article skipped | ai_governance | tf=current cnt=2 < 5
2025-08-25T02:13:19 | Added article | G1OEP69ET | to existing topic ai_governance
2025-08-25T02:13:42 | Node relationship created | ai_evaluation_monitoring->ai_generated_misinformation | type=INFLUENCES
2025-08-25T02:13:42 | Replacement of article skipped | ai_evaluation_monitoring | tf=current cnt=3 < 5
2025-08-25T02:13:42 | Added article | G1OEP69ET | to existing topic ai_evaluation_monitoring
2025-08-25T02:14:02 | Saved analysis | eurusd | field "drivers" len=4091
2025-08-25T02:14:29 | Node relationship removed | ai_infrastructure->us_chip_export_controls | type=INFLUENCES
2025-08-25T02:14:30 | Node relationship created | ai_infrastructure->nvidia_amd_chip_revenue_agreement | type=INFLUENCES
2025-08-25T02:14:30 | Replacement of article skipped | ai_infrastructure | tf=current cnt=3 < 5
2025-08-25T02:14:30 | Added article | G1OEP69ET | to existing topic ai_infrastructure
2025-08-25T02:15:16 | Node relationship created | ai_application_companies->openai_gpt5_competition | type=INFLUENCES
2025-08-25T02:15:16 | Replacement of article skipped | ai_application_companies | tf=current cnt=2 < 5
2025-08-25T02:15:17 | Added article | G1OEP69ET | to existing topic ai_application_companies
2025-08-25T02:15:56 | Saved analysis | eurusd | field "movers_scenarios" len=1826
2025-08-25T02:15:57 | Node relationship created | ai_generated_content_seo->ai_generated_misinformation | type=INFLUENCES
2025-08-25T02:15:58 | Replacement of article skipped | ai_generated_content_seo | tf=current cnt=1 < 5
2025-08-25T02:15:58 | Added article | G1OEP69ET | to existing topic ai_generated_content_seo
2025-08-25T02:18:18 | Saved analysis | eurusd | field "swing_trade_or_outlook" len=1426
2025-08-25T02:19:37 | Node relationship removed | fed_policy->gold | type=INFLUENCES
2025-08-25T02:19:37 | Node relationship created | fed_policy->30yr_tips_auction | type=INFLUENCES
2025-08-25T02:19:44 | No replacement of article | fed_policy | new_article=GZ9VV1RV0
2025-08-25T02:19:44 | Added article | GZ9VV1RV0 | to existing topic fed_policy
2025-08-25T02:20:48 | Node relationship removed | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T02:20:49 | Node relationship created | us_inflation->copper | type=INFLUENCES
2025-08-25T02:20:53 | Saved analysis | eurusd | field "executive_summary" len=1464
2025-08-25T02:20:53 | Rewrite complete | eurusd | total_chars=23450
2025-08-25T02:20:54 | Added article | 4YEPDLBLI | to existing topic eurusd
2025-08-25T02:20:58 | Article replaced | us_inflation | old=A6V3EB8XL new=GZ9VV1RV0
2025-08-25T02:21:06 | Triggered rewrite | us_inflation | new_article=GZ9VV1RV0
2025-08-25T02:21:44 | Node relationship removed | us_inflation->copper | type=INFLUENCES
2025-08-25T02:21:44 | Node relationship created | us_inflation->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T02:21:50 | Article replaced | us_inflation | old=IGP1Q4ZEJ new=4YEPDLBLI
2025-08-25T02:21:57 | Triggered rewrite | us_inflation | new_article=4YEPDLBLI
2025-08-25T02:23:14 | Saved analysis | us_inflation | field "fundamental_analysis" len=5322
2025-08-25T02:23:48 | Saved analysis | us_inflation | field "fundamental_analysis" len=6988
2025-08-25T02:25:10 | Saved analysis | us_inflation | field "medium_analysis" len=4613
2025-08-25T02:26:07 | Saved analysis | us_inflation | field "medium_analysis" len=4896
2025-08-25T02:28:11 | Saved analysis | us_inflation | field "current_analysis" len=3251
2025-08-25T02:28:33 | Saved analysis | us_inflation | field "current_analysis" len=3624
2025-08-25T02:29:46 | Saved analysis | us_inflation | field "drivers" len=5726
2025-08-25T02:30:24 | Saved analysis | us_inflation | field "drivers" len=5091
2025-08-25T02:31:51 | Saved analysis | us_inflation | field "movers_scenarios" len=1485
2025-08-25T02:31:52 | Saved analysis | us_inflation | field "movers_scenarios" len=1614
2025-08-25T02:33:48 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1139
2025-08-25T02:34:40 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1741
2025-08-25T02:35:45 | Saved analysis | us_inflation | field "executive_summary" len=1754
2025-08-25T02:35:45 | Rewrite complete | us_inflation | total_chars=24977
2025-08-25T02:35:45 | Added article | 4YEPDLBLI | to existing topic us_inflation
2025-08-25T02:36:13 | Saved analysis | us_inflation | field "executive_summary" len=1693
2025-08-25T02:36:13 | Rewrite complete | us_inflation | total_chars=23960
2025-08-25T02:36:13 | Added article | GZ9VV1RV0 | to existing topic us_inflation
2025-08-25T02:36:28 | Node relationship removed | fed_policy->30yr_tips_auction | type=INFLUENCES
2025-08-25T02:36:28 | Node relationship created | fed_policy->lower_interest_rates | type=INFLUENCES
2025-08-25T02:36:33 | No replacement of article | fed_policy | new_article=4YEPDLBLI
2025-08-25T02:36:33 | Added article | 4YEPDLBLI | to existing topic fed_policy
2025-08-25T02:37:22 | Node relationship removed | us_tariffs->us_tariff_inflation | type=INFLUENCES
2025-08-25T02:37:22 | Node relationship created | us_tariffs->us_tariffs_semiconductors | type=INFLUENCES
2025-08-25T02:37:27 | No replacement of article | us_tariffs | new_article=GZ9VV1RV0
2025-08-25T02:37:27 | Added article | GZ9VV1RV0 | to existing topic us_tariffs
2025-08-25T02:37:35 | Node relationship removed | us_10y->stagflation | type=INFLUENCES
2025-08-25T02:37:35 | Node relationship created | us_10y->sp500 | type=INFLUENCES
2025-08-25T02:37:35 | Replacement of article skipped | us_10y | tf=fundamental cnt=1 < 5
2025-08-25T02:37:36 | Added article | 4YEPDLBLI | to existing topic us_10y
2025-08-25T02:37:55 | Node relationship created | smb_sentiment->smb_cloud_spend | type=INFLUENCES
2025-08-25T02:37:55 | Replacement of article skipped | smb_sentiment | tf=current cnt=1 < 5
2025-08-25T02:37:55 | Added article | GZ9VV1RV0 | to existing topic smb_sentiment
2025-08-25T02:38:41 | Node relationship created | us_net_migration->2025_us_migration_trends | type=INFLUENCES
2025-08-25T02:38:41 | Replacement of article skipped | us_net_migration | tf=current cnt=2 < 5
2025-08-25T02:38:42 | Added article | GZ9VV1RV0 | to existing topic us_net_migration
2025-08-25T02:38:54 | Node relationship removed | sp500->us_trade_policy_inflation | type=INFLUENCES
2025-08-25T02:38:55 | Node relationship created | sp500->us_tariffs_on_technology | type=INFLUENCES
2025-08-25T02:38:59 | No replacement of article | sp500 | new_article=4YEPDLBLI
2025-08-25T02:38:59 | Added article | 4YEPDLBLI | to existing topic sp500
2025-08-25T02:39:08 | Node relationship created | stagflation->oil | type=INFLUENCES
2025-08-25T02:39:08 | Replacement of article skipped | stagflation | tf=current cnt=2 < 5
2025-08-25T02:39:09 | Added article | GZ9VV1RV0 | to existing topic stagflation
2025-08-25T02:40:05 | Node relationship removed | oil->conocophillips_dividend_policy | type=INFLUENCES
2025-08-25T02:40:05 | Node relationship created | oil->exxonmobil_trinidad_exploration | type=INFLUENCES
2025-08-25T02:40:11 | No replacement of article | oil | new_article=4YEPDLBLI
2025-08-25T02:40:11 | Added article | 4YEPDLBLI | to existing topic oil
2025-08-25T02:40:59 | Node relationship created | us_immigration_conditions->us_illegal_immigration_2023 | type=INFLUENCES
2025-08-25T02:40:59 | Replacement of article skipped | us_immigration_conditions | tf=current cnt=1 < 5
2025-08-25T02:40:59 | Added article | RB8DL3WLL | to existing topic us_immigration_conditions
2025-08-25T02:41:14 | Node relationship removed | gold->30yr_tips_auction | type=INFLUENCES
2025-08-25T02:41:14 | Node relationship created | gold->eurusd | type=INFLUENCES
2025-08-25T02:41:14 | Replacement of article skipped | gold | tf=fundamental cnt=2 < 5
2025-08-25T02:41:14 | Added article | 4YEPDLBLI | to existing topic gold
2025-08-25T02:41:48 | Node relationship removed | us_border_security->private_prison_growth | type=INFLUENCES
2025-08-25T02:41:48 | Node relationship created | us_border_security->private_prison_industry_growth | type=INFLUENCES
2025-08-25T02:41:54 | No replacement of article | us_border_security | new_article=RB8DL3WLL
2025-08-25T02:41:54 | Added article | RB8DL3WLL | to existing topic us_border_security
2025-08-25T02:42:30 | Node relationship created | nvidia_ai_infrastructure->nvidia_china_geopolitics | type=INFLUENCES
2025-08-25T02:42:30 | Replacement of article skipped | nvidia_ai_infrastructure | tf=fundamental cnt=2 < 5
2025-08-25T02:42:31 | Added article | 4YEPDLBLI | to existing topic nvidia_ai_infrastructure
2025-08-25T02:42:40 | Node relationship created | us_border_security_policy->2025_us_migration_trends | type=INFLUENCES
2025-08-25T02:42:41 | Replacement of article skipped | us_border_security_policy | tf=current cnt=1 < 5
2025-08-25T02:42:41 | Added article | RB8DL3WLL | to existing topic us_border_security_policy
2025-08-25T02:43:05 | Node relationship created | china_nvidia_policy->nvidia_china_geopolitics | type=INFLUENCES
2025-08-25T02:43:05 | Replacement of article skipped | china_nvidia_policy | tf=fundamental cnt=1 < 5
2025-08-25T02:43:05 | Added article | 4YEPDLBLI | to existing topic china_nvidia_policy
2025-08-25T02:43:09 | Node relationship created | us_visa_integrity_fee_2026->us_border_security_policy | type=INFLUENCES
2025-08-25T02:43:09 | Replacement of article skipped | us_visa_integrity_fee_2026 | tf=current cnt=0 < 5
2025-08-25T02:43:09 | Added article | RB8DL3WLL | to existing topic us_visa_integrity_fee_2026
2025-08-25T02:43:49 | Node relationship removed | us_chip_export_controls->us_tariffs_semiconductors | type=INFLUENCES
2025-08-25T02:43:49 | Node relationship created | us_chip_export_controls->nvidia_china_geopolitics | type=INFLUENCES
2025-08-25T02:43:54 | No replacement of article | us_chip_export_controls | new_article=4YEPDLBLI
2025-08-25T02:43:54 | Added article | 4YEPDLBLI | to existing topic us_chip_export_controls
2025-08-25T02:44:17 | Node relationship removed | us_inflation_impact_on_stocks->oil | type=INFLUENCES
2025-08-25T02:44:18 | Node relationship created | us_inflation_impact_on_stocks->gold | type=INFLUENCES
2025-08-25T02:44:18 | Replacement of article skipped | us_inflation_impact_on_stocks | tf=current cnt=1 < 5
2025-08-25T02:44:18 | Added article | RB8DL3WLL | to existing topic us_inflation_impact_on_stocks
2025-08-25T02:44:25 | Node relationship created | us_chip_export_tax->us_china_ai_chip_exports | type=INFLUENCES
2025-08-25T02:44:26 | Replacement of article skipped | us_chip_export_tax | tf=fundamental cnt=3 < 5
2025-08-25T02:44:26 | Added article | 4YEPDLBLI | to existing topic us_chip_export_tax
2025-08-25T02:44:53 | Node relationship created | us_chip_sales_to_china->us_china_trade_talks | type=INFLUENCES
2025-08-25T02:44:53 | Replacement of article skipped | us_chip_sales_to_china | tf=fundamental cnt=1 < 5
2025-08-25T02:44:54 | Added article | 4YEPDLBLI | to existing topic us_chip_sales_to_china
2025-08-25T02:45:48 | Node relationship created | technology_communications_sector->us_chip_trade_china | type=INFLUENCES
2025-08-25T02:45:48 | Replacement of article skipped | technology_communications_sector | tf=current cnt=3 < 5
2025-08-25T02:45:48 | Added article | GGQ3H7YA7 | to existing topic technology_communications_sector
2025-08-25T02:46:12 | Node relationship removed | us_china_trade_talks->us_export_policy_ai_chips | type=INFLUENCES
2025-08-25T02:46:12 | Node relationship created | us_china_trade_talks->us_china_supply_chain_risks | type=INFLUENCES
2025-08-25T02:46:13 | Replacement of article skipped | us_china_trade_talks | tf=fundamental cnt=2 < 5
2025-08-25T02:46:13 | Added article | 4YEPDLBLI | to existing topic us_china_trade_talks
2025-08-25T02:46:26 | Node relationship created | macro_risks_technology->us_tariffs_semiconductors | type=INFLUENCES
2025-08-25T02:46:26 | Replacement of article skipped | macro_risks_technology | tf=current cnt=1 < 5
2025-08-25T02:46:26 | Added article | GGQ3H7YA7 | to existing topic macro_risks_technology
2025-08-25T02:47:14 | Node relationship removed | us_china_trade_negotiations->us_china_agriculture_trade | type=INFLUENCES
2025-08-25T02:47:15 | Node relationship created | us_china_trade_negotiations->china_us_tariff_truce | type=INFLUENCES
2025-08-25T02:47:20 | No replacement of article | us_china_trade_negotiations | new_article=4YEPDLBLI
2025-08-25T02:47:20 | Added article | 4YEPDLBLI | to existing topic us_china_trade_negotiations
2025-08-25T02:47:33 | Node relationship removed | us_inflation->oil | type=INFLUENCES
2025-08-25T02:47:33 | Node relationship created | us_inflation->30yr_tips_auction | type=INFLUENCES
2025-08-25T02:47:44 | Article replaced | us_inflation | old=GZ9VV1RV0 new=GGQ3H7YA7
2025-08-25T02:47:50 | Triggered rewrite | us_inflation | new_article=GGQ3H7YA7
2025-08-25T02:48:01 | Node relationship removed | trump_tariffs->us_tariffs | type=INFLUENCES
2025-08-25T02:48:01 | Node relationship created | trump_tariffs->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T02:48:01 | Replacement of article skipped | trump_tariffs | tf=fundamental cnt=4 < 5
2025-08-25T02:48:01 | Added article | 4YEPDLBLI | to existing topic trump_tariffs
2025-08-25T02:48:47 | Node relationship removed | us_inflation_data->us_inflation_expectations | type=INFLUENCES
2025-08-25T02:48:47 | Error | - | Relationship create error | us_inflation_data->us_inflation_and_stock_market_impact | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': 'US Inflation Data directly drives the broader market-wide impact on equities, so linking it to the US Inflation and Stock Marke
2025-08-25T02:49:53 | Saved analysis | us_inflation | field "fundamental_analysis" len=7098
2025-08-25T02:50:17 | Node relationship removed | fed_policy->core_monthly_cpi | type=INFLUENCES
2025-08-25T02:50:17 | Node relationship created | fed_policy->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T02:50:24 | No replacement of article | fed_policy | new_article=17F49LURJ
2025-08-25T02:50:24 | Added article | 17F49LURJ | to existing topic fed_policy
2025-08-25T02:51:29 | Node relationship removed | us_inflation->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T02:51:30 | Error | - | Relationship create error | us_inflation->us_inflation_and_stock_market_impact | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': "US Inflation is a key macro driver of overall stock market performance, and the node 'us_inflation_and_stock_market_impact' cap
2025-08-25T02:52:10 | Saved analysis | us_inflation | field "medium_analysis" len=6113
2025-08-25T02:52:51 | Node relationship removed | sp500->fed_policy | type=INFLUENCES
2025-08-25T02:52:51 | Node relationship created | sp500->us_chip_exports_china | type=INFLUENCES
2025-08-25T02:53:02 | Article replaced | sp500 | old=QGXA2WQJ3 new=Z5IA1CYUF
2025-08-25T02:53:06 | Triggered rewrite | sp500 | new_article=Z5IA1CYUF
2025-08-25T02:54:18 | Saved analysis | us_inflation | field "current_analysis" len=2851
2025-08-25T02:55:17 | Saved analysis | sp500 | field "fundamental_analysis" len=4031
2025-08-25T02:56:17 | Saved analysis | us_inflation | field "drivers" len=1469
2025-08-25T02:57:18 | Saved analysis | sp500 | field "medium_analysis" len=4370
2025-08-25T02:58:07 | Saved analysis | us_inflation | field "movers_scenarios" len=990
2025-08-25T02:58:59 | Saved analysis | sp500 | field "current_analysis" len=4129
2025-08-25T03:00:57 | Saved analysis | sp500 | field "drivers" len=2901
2025-08-25T03:01:05 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1772
2025-08-25T03:03:12 | Saved analysis | sp500 | field "movers_scenarios" len=1075
2025-08-25T03:03:21 | Saved analysis | us_inflation | field "executive_summary" len=1987
2025-08-25T03:03:21 | Rewrite complete | us_inflation | total_chars=22280
2025-08-25T03:03:21 | Added article | GGQ3H7YA7 | to existing topic us_inflation
2025-08-25T03:04:03 | Node relationship removed | core_monthly_cpi->cpi_impact_on_treasuries | type=INFLUENCES
2025-08-25T03:04:03 | Node relationship created | core_monthly_cpi->stagflation | type=INFLUENCES
2025-08-25T03:04:04 | Replacement of article skipped | core_monthly_cpi | tf=current cnt=2 < 5
2025-08-25T03:04:04 | Added article | GGQ3H7YA7 | to existing topic core_monthly_cpi
2025-08-25T03:04:41 | Node relationship removed | core_cpi->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T03:04:41 | Node relationship created | core_cpi->sp500 | type=INFLUENCES
2025-08-25T03:04:41 | Replacement of article skipped | core_cpi | tf=current cnt=2 < 5
2025-08-25T03:04:41 | Added article | GGQ3H7YA7 | to existing topic core_cpi
2025-08-25T03:04:59 | Pipeline complete | pipeline | run complete
2025-08-25T03:05:00 | Retrieved articles | CPI Impact on Treasuries | Retrieved 10 from API
2025-08-25T03:06:01 | Saved analysis | sp500 | field "swing_trade_or_outlook" len=1298
2025-08-25T03:08:11 | Node relationship created | tokenized_real_world_assets->bakkt_crypto_infrastructure | type=INFLUENCES
2025-08-25T03:08:11 | Replacement of article skipped | tokenized_real_world_assets | tf=fundamental cnt=2 < 5
2025-08-25T03:08:11 | Added article | Y474W9FO9 | to existing topic tokenized_real_world_assets
2025-08-25T03:08:15 | Saved analysis | sp500 | field "executive_summary" len=1831
2025-08-25T03:08:15 | Rewrite complete | sp500 | total_chars=19635
2025-08-25T03:08:15 | Added article | Z5IA1CYUF | to existing topic sp500
2025-08-25T03:08:30 | Node relationship created | tokenization_regulation->tokenized_real_world_assets | type=INFLUENCES
2025-08-25T03:08:31 | Replacement of article skipped | tokenization_regulation | tf=fundamental cnt=2 < 5
2025-08-25T03:08:31 | Added article | Y474W9FO9 | to existing topic tokenization_regulation
2025-08-25T03:08:39 | Node relationship created | meta_investment_sentiment->sp500 | type=INFLUENCES
