2025-09-03T00:01:55 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T04:30:15 | Node relationship removed | ecb_policy->bund10y | type=INFLUENCES
2025-09-03T04:30:15 | Node relationship created | ecb_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T04:30:15 | Replacement of article skipped | ecb_policy | tf=current cnt=4 < 5
2025-09-03T04:30:15 | Added article | PUYYF2OKA | to existing topic ecb_policy
2025-09-03T04:31:08 | Node relationship removed | gold->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:31:08 | Relationship duplicate | gold->ust5y | type=INFLUENCES
2025-09-03T04:31:08 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T04:31:08 | Added article | PUYYF2OKA | to existing topic gold
2025-09-03T04:32:25 | Node relationship removed | ust10y->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T04:32:25 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T04:32:26 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T04:32:26 | Added article | PUYYF2OKA | to existing topic ust10y
2025-09-03T04:32:52 | Node relationship removed | ust2y->usdcny | type=INFLUENCES
2025-09-03T04:32:52 | Relationship duplicate | us_unemployment_claims->ust2y | type=INFLUENCES
2025-09-03T04:32:53 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T04:32:53 | Added article | PUYYF2OKA | to existing topic ust2y
2025-09-03T04:33:56 | Node relationship removed | ust5y->gold | type=INFLUENCES
2025-09-03T04:33:57 | Node relationship created | ust5y->ust30y | type=INFLUENCES
2025-09-03T04:33:57 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T04:33:57 | Added article | PUYYF2OKA | to existing topic ust5y
2025-09-03T04:34:51 | Node relationship removed | ust30y->eur_at1_issuance | type=INFLUENCES
2025-09-03T04:34:52 | Node relationship created | ust30y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T04:34:52 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T04:34:52 | Added article | PUYYF2OKA | to existing topic ust30y
2025-09-03T04:36:19 | Node relationship removed | bund10y->spx | type=INFLUENCES
2025-09-03T04:36:19 | Node relationship created | bund10y->sx5e | type=INFLUENCES
2025-09-03T04:36:19 | Replacement of article skipped | bund10y | tf=current cnt=3 < 5
2025-09-03T04:36:20 | Added article | PUYYF2OKA | to existing topic bund10y
2025-09-03T04:38:04 | Node relationship created | uk_30yr_gilt_yield->bund10y | type=CORRELATES_WITH
2025-09-03T04:38:05 | Replacement of article skipped | uk_30yr_gilt_yield | tf=current cnt=1 < 5
2025-09-03T04:38:05 | Added article | PUYYF2OKA | to existing topic uk_30yr_gilt_yield
2025-09-03T04:38:51 | Node relationship created | cn_russia_gas_pipeline->oil_price_decline | type=INFLUENCES
2025-09-03T04:38:51 | Replacement of article skipped | cn_russia_gas_pipeline | tf=current cnt=1 < 5
2025-09-03T04:38:52 | Added article | PUYYF2OKA | to existing topic cn_russia_gas_pipeline
2025-09-03T04:40:53 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T04:40:53 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T04:40:53 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T04:40:53 | Added article | JBUO4ZT2U | to existing topic fed_policy
2025-09-03T04:41:42 | Node relationship removed | ust10y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T04:41:42 | Node relationship created | ust10y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T04:41:42 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T04:41:42 | Added article | JBUO4ZT2U | to existing topic ust10y
2025-09-03T04:44:12 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T04:44:12 | Node relationship created | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:44:13 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T04:44:13 | Added article | 6470E78O3 | to existing topic fed_policy
2025-09-03T04:45:22 | Node relationship removed | ust10y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T04:45:23 | Node relationship created | ust10y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T04:45:23 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T04:45:23 | Added article | 6470E78O3 | to existing topic ust10y
2025-09-03T04:46:22 | Node relationship removed | ust30y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T04:46:22 | Relationship duplicate | us_services_pmi->ust30y | type=INFLUENCES
2025-09-03T04:46:23 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T04:46:23 | Added article | 6470E78O3 | to existing topic ust30y
2025-09-03T04:47:42 | Node relationship created | fed_rate_cut_sept17_2025->spx | type=INFLUENCES
2025-09-03T04:47:42 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T04:47:42 | Added article | 6470E78O3 | to existing topic spx
2025-09-03T04:48:31 | Node relationship removed | us_inflation->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:48:31 | Node relationship created | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T04:48:32 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T04:48:32 | Added article | 6470E78O3 | to existing topic us_inflation
2025-09-03T04:49:57 | Node relationship removed | us_core_pce->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:49:58 | Node relationship created | us_core_pce->gold | type=INFLUENCES
2025-09-03T04:49:58 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T04:49:58 | Added article | 6470E78O3 | to existing topic us_core_pce
2025-09-03T04:50:34 | Node relationship removed | ust2y->sofr | type=CORRELATES_WITH
2025-09-03T04:50:34 | Node relationship created | ust2y->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T04:50:34 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T04:50:35 | Added article | 6470E78O3 | to existing topic ust2y
2025-09-03T04:53:12 | Node relationship removed | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:53:12 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T04:53:12 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T04:53:13 | Added article | TP924EKCH | to existing topic fed_policy
2025-09-03T04:53:56 | Node relationship removed | ust10y->bund10y | type=INFLUENCES
2025-09-03T04:53:56 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:53:56 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T04:53:57 | Added article | TP924EKCH | to existing topic ust10y
2025-09-03T04:55:14 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T04:55:14 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T04:55:15 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T04:55:15 | Added article | U5Z12CD9U | to existing topic fed_policy
2025-09-03T04:56:25 | Node relationship removed | ust10y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T04:56:25 | Node relationship created | ust10y->usdcny | type=INFLUENCES
2025-09-03T04:56:25 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T04:56:26 | Added article | U5Z12CD9U | to existing topic ust10y
2025-09-03T04:57:45 | Node relationship created | uk_30yr_gilt_yield->gilt10y | type=CORRELATES_WITH
2025-09-03T04:57:45 | Replacement of article skipped | uk_30yr_gilt_yield | tf=current cnt=2 < 5
2025-09-03T04:57:45 | Added article | GTF5V3TZQ | to existing topic uk_30yr_gilt_yield
2025-09-03T04:59:08 | Node relationship removed | gbpusd->gilt10y | type=CORRELATES_WITH
2025-09-03T04:59:08 | Node relationship created | gbpusd->uk_30yr_gilt_yield | type=CORRELATES_WITH
2025-09-03T04:59:09 | Replacement of article skipped | gbpusd | no competing candidates in timeframe current
2025-09-03T04:59:09 | Added article | GTF5V3TZQ | to existing topic gbpusd
2025-09-03T05:00:24 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T05:00:24 | Added article | GTF5V3TZQ | to existing topic eurusd
2025-09-03T05:01:52 | Node relationship created | ecb_policy->usdjpy | type=INFLUENCES
2025-09-03T05:01:52 | Replacement of article skipped | usdjpy | no competing candidates in timeframe current
2025-09-03T05:01:52 | Added article | GTF5V3TZQ | to existing topic usdjpy
2025-09-03T05:03:16 | Node relationship removed | dxy->copper | type=INFLUENCES
2025-09-03T05:03:16 | Node relationship created | dxy->ust5y | type=INFLUENCES
2025-09-03T05:03:16 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T05:03:16 | Added article | GTF5V3TZQ | to existing topic dxy
2025-09-03T05:04:47 | Node relationship removed | ust10y->usdcny | type=INFLUENCES
2025-09-03T05:04:47 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T05:04:47 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T05:04:48 | Added article | GTF5V3TZQ | to existing topic ust10y
2025-09-03T05:06:40 | Node relationship removed | oil_price_decline->ust2y | type=INFLUENCES
2025-09-03T05:06:40 | Node relationship created | oil_price_decline->us_crude_inventory | type=INFLUENCES
2025-09-03T05:06:41 | Replacement of article skipped | oil_price_decline | tf=current cnt=3 < 5
2025-09-03T05:06:41 | Added article | ETDTU2ZPJ | to existing topic oil_price_decline
2025-09-03T05:07:20 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T05:07:20 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:07:21 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T05:07:21 | Added article | ETDTU2ZPJ | to existing topic fed_policy
2025-09-03T05:09:00 | Node relationship removed | us_inflation->gold | type=INFLUENCES
2025-09-03T05:09:00 | Node relationship created | us_inflation->usdcny | type=INFLUENCES
2025-09-03T05:09:01 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T05:09:01 | Added article | ETDTU2ZPJ | to existing topic us_inflation
2025-09-03T05:09:46 | Node relationship removed | ust10y->us_core_pce | type=INFLUENCES
2025-09-03T05:09:46 | Node relationship created | ust10y->usdcny | type=INFLUENCES
2025-09-03T05:09:46 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T05:09:46 | Added article | ETDTU2ZPJ | to existing topic ust10y
2025-09-03T05:10:43 | Node relationship created | ust2y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T05:10:43 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T05:10:43 | Added article | ETDTU2ZPJ | to existing topic ust2y
2025-09-03T05:11:21 | Node relationship removed | ust5y->sx5e | type=INFLUENCES
2025-09-03T05:11:22 | Node relationship created | ust5y->gold | type=INFLUENCES
2025-09-03T05:11:22 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T05:11:22 | Added article | ETDTU2ZPJ | to existing topic ust5y
2025-09-03T05:12:23 | Node relationship created | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T05:12:23 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T05:12:23 | Added article | ETDTU2ZPJ | to existing topic ust30y
2025-09-03T05:13:42 | Node relationship removed | china_exports->wti | type=INFLUENCES
2025-09-03T05:13:43 | Node relationship created | china_exports->fed_policy | type=INFLUENCES
2025-09-03T05:13:43 | Replacement of article skipped | china_exports | no competing candidates in timeframe current
2025-09-03T05:13:43 | Added article | ETDTU2ZPJ | to existing topic china_exports
2025-09-03T05:15:21 | Node relationship created | china_credit_impulse->ust30y | type=INFLUENCES
2025-09-03T05:15:21 | Replacement of article skipped | china_credit_impulse | tf=current cnt=1 < 5
2025-09-03T05:15:21 | Added article | ETDTU2ZPJ | to existing topic china_credit_impulse
2025-09-03T05:15:21 | Enrichment check | us_core_pce | section=fundamental
2025-09-03T05:15:21 | Enrichment check | us_core_pce | section=medium
2025-09-03T05:15:21 | Enrichment check | us_core_pce | section=current
2025-09-03T05:15:21 | Enrichment summary | topic=us_core_pce (US Core PCE) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T05:15:22 | Pipeline complete | pipeline | run complete
2025-09-03T05:15:23 | Retrieved articles | US Inflation | Retrieved 10 from API
2025-09-03T05:19:00 | Node relationship created | hurricane_risk_ust10y->spx | type=INFLUENCES
2025-09-03T05:19:01 | Replacement of article skipped | hurricane_risk_ust10y | tf=current cnt=0 < 5
2025-09-03T05:19:01 | Added article | 8YD7TSLVV | to existing topic hurricane_risk_ust10y
2025-09-03T05:19:54 | Node relationship removed | ust10y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T05:19:54 | Node relationship created | ust10y->us_unemployment_claims | type=INFLUENCES
2025-09-03T05:19:55 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T05:19:55 | Added article | 8YD7TSLVV | to existing topic ust10y
2025-09-03T05:21:04 | Node relationship removed | ust2y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T05:21:04 | Error | - | Relationship create error | ust2y->usd/cny | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': 'UST2Y movements signal expectations of US monetary tightening and short‑term rate trajectories; higher yields strengthen the US
2025-09-03T05:22:54 | Node relationship removed | us_inflation->usdcny | type=INFLUENCES
2025-09-03T05:22:54 | Node relationship created | us_inflation->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T05:22:54 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T05:22:54 | Added article | 07R0B3RJD | to existing topic us_inflation
2025-09-03T05:23:36 | Node relationship removed | china_credit_impulse->cn_russia_gas_pipeline | type=INFLUENCES
2025-09-03T05:23:37 | Node relationship created | china_credit_impulse->fed_policy | type=INFLUENCES
2025-09-03T05:23:37 | Replacement of article skipped | china_credit_impulse | tf=current cnt=1 < 5
2025-09-03T05:23:37 | Added article | 07R0B3RJD | to existing topic china_credit_impulse
2025-09-03T05:23:39 | Enrichment check | us_inflation | section=fundamental
2025-09-03T05:23:40 | Enrichment check | us_inflation | section=medium
2025-09-03T05:23:40 | Enrichment check | us_inflation | section=current
2025-09-03T05:23:40 | Enrichment summary | topic=us_inflation (US Inflation) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T05:23:40 | Pipeline complete | pipeline | run complete
2025-09-03T05:23:41 | Retrieved articles | Japan 10Y JGB Yield | Retrieved 10 from API
2025-09-03T05:26:32 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:26:33 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T05:26:33 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T05:26:33 | Added article | 3EFO1OOMT | to existing topic fed_policy
2025-09-03T05:26:42 | Enrichment check | jgb10y | section=fundamental
2025-09-03T05:30:29 | Enrichment check | jgb10y | section=medium
2025-09-03T05:34:29 | Node relationship created | jgb10y->us_inflation | type=INFLUENCES
2025-09-03T05:34:29 | Replacement of article skipped | jgb10y | tf=current cnt=1 < 5
2025-09-03T05:34:29 | Added article | V8HCJ2GD3 | to intended topic jgb10y
2025-09-03T05:34:50 | Node relationship created | ust2y->fed_policy | type=INFLUENCES
2025-09-03T05:34:50 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T05:34:50 | Added article | V8HCJ2GD3 | to existing topic ust2y
2025-09-03T05:35:35 | Node relationship removed | ust5y->us_core_pce | type=INFLUENCES
2025-09-03T05:35:36 | Node relationship created | ust5y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:35:36 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T05:35:36 | Added article | V8HCJ2GD3 | to existing topic ust5y
2025-09-03T05:37:07 | Node relationship created | us_sanctions_iranshipping->brent | type=INFLUENCES
2025-09-03T05:37:07 | Replacement of article skipped | us_sanctions_iranshipping | tf=current cnt=1 < 5
2025-09-03T05:37:07 | Added article | V8HCJ2GD3 | to existing topic us_sanctions_iranshipping
2025-09-03T05:38:03 | Node relationship removed | gbpusd->ust2y | type=CORRELATES_WITH
2025-09-03T05:38:04 | Node relationship created | gbpusd->wti | type=CORRELATES_WITH
2025-09-03T05:38:04 | Replacement of article skipped | gbpusd | no competing candidates in timeframe current
2025-09-03T05:38:04 | Added article | V8HCJ2GD3 | to existing topic gbpusd
2025-09-03T05:39:32 | Node relationship removed | usdjpy->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T05:39:32 | Node relationship created | usdjpy->wti | type=CORRELATES_WITH
2025-09-03T05:39:32 | Replacement of article skipped | usdjpy | no competing candidates in timeframe current
2025-09-03T05:39:32 | Added article | V8HCJ2GD3 | to existing topic usdjpy
2025-09-03T05:40:16 | Node relationship created | eurusd->us_inflation | type=INFLUENCES
2025-09-03T05:40:16 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T05:40:16 | Added article | V8HCJ2GD3 | to existing topic eurusd
2025-09-03T05:41:34 | Node relationship removed | sx5e->ust5y | type=CORRELATES_WITH
2025-09-03T05:41:34 | Node relationship created | sx5e->us_inflation | type=CORRELATES_WITH
2025-09-03T05:41:35 | Replacement of article skipped | sx5e | no competing candidates in timeframe current
2025-09-03T05:41:35 | Added article | V8HCJ2GD3 | to existing topic sx5e
2025-09-03T05:41:35 | Backfill added | V8HCJ2GD3 -> jgb10y | section=medium
2025-09-03T05:41:35 | Enrichment check | jgb10y | section=current
2025-09-03T05:47:21 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T05:47:21 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:47:21 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T05:47:21 | Added article | K0WFSW29E | to existing topic fed_policy
2025-09-03T05:48:54 | Node relationship removed | ecb_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:48:54 | Node relationship created | ecb_policy->bund10y | type=INFLUENCES
2025-09-03T05:48:54 | Replacement of article skipped | ecb_policy | tf=medium cnt=4 < 5
2025-09-03T05:48:54 | Added article | K0WFSW29E | to existing topic ecb_policy
2025-09-03T05:49:53 | Replacement of article skipped | jgb10y | tf=medium cnt=2 < 5
2025-09-03T05:49:53 | Added article | K0WFSW29E | to existing topic jgb10y
2025-09-03T05:49:54 | Backfill added | K0WFSW29E -> jgb10y | section=current
2025-09-03T05:49:54 | Enrichment summary | topic=jgb10y (Japan 10Y JGB Yield) | 0 new fundamental articles, 1 new medium article, 1 new current article
2025-09-03T05:49:54 | Pipeline complete | pipeline | run complete
2025-09-03T05:50:00 | Retrieved articles | EURUSD | Retrieved 0 from API
2025-09-03T05:50:00 | Enrichment check | eurusd | section=fundamental
2025-09-03T05:53:41 | Node relationship removed | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T05:53:41 | Node relationship created | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:53:41 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T05:53:41 | Added article | V8HCJ2GD3 | to existing topic us_core_pce
2025-09-03T05:54:10 | Node relationship created | us_crude_inventory->ust2y | type=INFLUENCES
2025-09-03T05:54:10 | Replacement of article skipped | us_crude_inventory | tf=current cnt=1 < 5
2025-09-03T05:54:10 | Added article | V8HCJ2GD3 | to existing topic us_crude_inventory
2025-09-03T05:55:12 | Node relationship created | copper->china_exports | type=CORRELATES_WITH
2025-09-03T05:55:12 | Replacement of article skipped | copper | no competing candidates in timeframe current
2025-09-03T05:55:12 | Added article | V8HCJ2GD3 | to existing topic copper
2025-09-03T05:56:37 | Node relationship created | usdcny->gold | type=INFLUENCES
2025-09-03T05:56:38 | Replacement of article skipped | usdcny | tf=current cnt=3 < 5
2025-09-03T05:56:38 | Added article | V8HCJ2GD3 | to existing topic usdcny
2025-09-03T05:57:31 | Node relationship created | gilt10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T05:57:32 | Replacement of article skipped | gilt10y | no competing candidates in timeframe current
2025-09-03T05:57:32 | Added article | V8HCJ2GD3 | to existing topic gilt10y
2025-09-03T05:59:33 | Node relationship removed | bund10y->us_core_pce | type=INFLUENCES
2025-09-03T05:59:33 | Node relationship created | bund10y->fed_policy | type=INFLUENCES
2025-09-03T05:59:33 | Replacement of article skipped | bund10y | tf=current cnt=3 < 5
2025-09-03T05:59:33 | Added article | V8HCJ2GD3 | to existing topic bund10y
2025-09-03T05:59:52 | Replacement of article skipped | sofr | tf=current cnt=4 < 5
2025-09-03T05:59:52 | Added article | V8HCJ2GD3 | to existing topic sofr
2025-09-03T05:59:52 | Backfill added | V8HCJ2GD3 -> eurusd | section=fundamental
2025-09-03T05:59:53 | Enrichment check | eurusd | section=medium
2025-09-03T05:59:53 | Enrichment check | eurusd | section=current
2025-09-03T05:59:53 | Enrichment summary | topic=eurusd (EURUSD) | 1 new fundamental article, 0 new medium articles, 0 new current articles
2025-09-03T05:59:53 | Pipeline complete | pipeline | run complete
2025-09-03T06:00:01 | Retrieved articles | Wheat | Retrieved 10 from API
2025-09-03T06:03:37 | Node relationship created | india_industrial_output->ust5y | type=INFLUENCES
2025-09-03T06:03:37 | Replacement of article skipped | india_industrial_output | tf=current cnt=4 < 5
2025-09-03T06:03:37 | Added article | 6FKNF13EK | to existing topic india_industrial_output
2025-09-03T06:03:48 | Topic rejected | name=Investors Cozy Up to Safer Bets in Indian Stock Market as Tariff Pain Looms | category=None | failure=proposal_null
2025-09-03T06:03:48 | Failed to create new topic for article | 6FKNF13EK | to new topic None
2025-09-03T06:05:20 | Node relationship removed | ust10y->jgb10y | type=CORRELATES_WITH
2025-09-03T06:05:20 | Node relationship created | ust10y->wti | type=CORRELATES_WITH
2025-09-03T06:05:20 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T06:05:20 | Added article | 3GW3TT8IY | to existing topic ust10y
2025-09-03T06:06:26 | Node relationship removed | dxy->ust30y | type=INFLUENCES
2025-09-03T06:06:26 | Node relationship created | dxy->oil_price_decline | type=INFLUENCES
2025-09-03T06:06:26 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T06:06:26 | Added article | 3GW3TT8IY | to existing topic dxy
2025-09-03T06:08:32 | Node relationship created | cn_russia_gas_pipeline->dxy | type=INFLUENCES
2025-09-03T06:08:32 | Replacement of article skipped | cn_russia_gas_pipeline | tf=fundamental cnt=3 < 5
2025-09-03T06:08:32 | Added article | AYF674S2Z | to existing topic cn_russia_gas_pipeline
2025-09-03T06:10:19 | Topic added | name=China Power of Siberia 2 Pipeline | category=policy | importance=3
2025-09-03T06:11:19 | Node relationship created | china_pos2_pipeline->cn_russia_gas_pipeline | type=COMPONENT_OF
2025-09-03T06:11:19 | Replacement of article skipped | china_pos2_pipeline | tf=fundamental cnt=1 < 5
2025-09-03T06:11:19 | Added article | AYF674S2Z | to new topic china_pos2_pipeline
2025-09-03T06:11:48 | Enrichment check | wheat | section=fundamental
2025-09-03T06:14:39 | Enrichment check | wheat | section=medium
2025-09-03T06:14:40 | Enrichment check | wheat | section=current
2025-09-03T06:25:58 | Enrichment summary | topic=wheat (Wheat) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T06:25:58 | Pipeline complete | pipeline | run complete
2025-09-03T06:26:15 | Enrichment check | ust10y | section=fundamental
2025-09-03T06:26:15 | Enrichment check | ust10y | section=medium
2025-09-03T06:26:15 | Enrichment check | ust10y | section=current
2025-09-03T06:26:15 | Enrichment summary | topic=ust10y (US 10Y Treasury Yield) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T06:26:16 | Pipeline complete | pipeline | run complete
2025-09-03T06:26:17 | Retrieved articles | US 2Y Treasury Yield | Retrieved 10 from API
2025-09-03T06:30:48 | Node relationship created | ba->fed_rate_cut_sept17_2025 | type=CORRELATES_WITH
2025-09-03T06:30:48 | Replacement of article skipped | ba | no competing candidates in timeframe fundamental
2025-09-03T06:30:48 | Added article | 3LIT693HI | to existing topic ba
2025-09-03T06:32:14 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T06:32:14 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T06:32:14 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T06:32:14 | Added article | QHRRLCRDE | to existing topic fed_policy
2025-09-03T06:32:49 | Node relationship removed | fed_powell_rate_cut_hint_2025->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T06:32:49 | Node relationship created | fed_powell_rate_cut_hint_2025->fed_policy | type=INFLUENCES
2025-09-03T06:32:49 | Replacement of article skipped | fed_powell_rate_cut_hint_2025 | tf=current cnt=3 < 5
2025-09-03T06:32:49 | Added article | QHRRLCRDE | to existing topic fed_powell_rate_cut_hint_2025
2025-09-03T06:33:26 | Topic rejected | name=Business and Tech leaders respond to the Google antitrust ruling after a judge spared it from a Chrome sell-off | category=None | failure=proposal_null
2025-09-03T06:33:26 | Failed to create new topic for article | OXEL6JD5E | to new topic None
2025-09-03T06:34:51 | Topic rejected | name=Tesla | category=company | failure=relevance_gate_reject
2025-09-03T06:34:51 | Failed to create new topic for article | GCJWUJB3P | to new topic None
2025-09-03T06:35:16 | Enrichment check | ust2y | section=fundamental
2025-09-03T06:35:16 | Enrichment check | ust2y | section=medium
2025-09-03T06:35:16 | Enrichment check | ust2y | section=current
2025-09-03T06:35:17 | Enrichment summary | topic=ust2y (US 2Y Treasury Yield) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T06:35:17 | Pipeline complete | pipeline | run complete
2025-09-03T06:35:24 | Retrieved articles | Oil Price Decline | Retrieved 0 from API
2025-09-03T06:35:24 | Enrichment check | oil_price_decline | section=fundamental
2025-09-03T06:35:24 | Enrichment check | oil_price_decline | section=medium
2025-09-03T06:38:56 | Node relationship removed | oil_price_decline->us_crude_inventory | type=INFLUENCES
2025-09-03T06:38:57 | Node relationship created | oil_price_decline->fed_policy | type=INFLUENCES
2025-09-03T06:38:57 | Replacement of article skipped | oil_price_decline | tf=current cnt=3 < 5
2025-09-03T06:38:57 | Added article | PUYYF2OKA | to intended topic oil_price_decline
2025-09-03T06:39:46 | Relationship duplicate | fed_rate_cut_sept17_2025->spx | type=INFLUENCES
2025-09-03T06:39:47 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T06:39:47 | Added article | PUYYF2OKA | to existing topic spx
2025-09-03T06:39:47 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=ndx Error: Failed to fetch node from Neo4j: Node with id 'ndx' not found.
2025-09-03T06:39:47 | Replacement of article skipped | ndx | tf=current cnt=0 < 5
2025-09-03T06:39:47 | Added article | PUYYF2OKA | to existing topic ndx
2025-09-03T06:40:27 | Node relationship removed | gilt10y->gold | type=INFLUENCES
2025-09-03T06:40:28 | Node relationship created | gilt10y->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T06:40:28 | Replacement of article skipped | gilt10y | no competing candidates in timeframe current
2025-09-03T06:40:28 | Added article | PUYYF2OKA | to existing topic gilt10y
